0,0,0,-0.1663
5,102.36,11.565,-0.3874
10,204.72,23.131,-0.6089
15,307.09,34.696,-0.8258
20,409.45,46.261,-1.0436
25,511.81,57.827,-1.2768
30,614.17,69.392,-1.498
35,716.53,80.957,-1.7148
40,818.9,92.522,-1.9359
45,921.26,104.09,-2.1781
50,1023.6,115.65,-2.3981
55,1126,127.22,-2.615
60,1228.3,138.78,-2.8352
65,1330.7,150.35,-3.0513
70,1433.1,161.91,-3.2496
75,1535.4,173.48,-3.4649
